set,tool,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
sweep-scc,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 32 --directory-walker-job-workers 16",0.796744,0.01571,0.794727,0.776018,0.828404,6.116667,2.630208,15,,,,10.98,
sweep-scc,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 64 --directory-walker-job-workers 16",0.791355,0.014034,0.799267,0.769952,0.809603,6.14375,2.528125,15,,,,10.96,
t1-fwd,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region",0.345232,0.025038,0.332928,0.323109,0.398752,2.294792,2.2625,15,63893,36035852,104381574,13.2,7907296
t1-fwd,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.792995,0.014879,0.799496,0.770509,0.812286,6.121875,2.664583,15,63753,36012072,45412728,11.08,4098588
t1-fwd,tokei,"D:/dev/tools/counters-benchmark/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Python,Perl,Rust,Shell""",0.6677,0.04379,0.650657,0.632697,0.781287,6.157292,3.0375,15,63811,36021160,53948093,13.77,3917561
t1-rev,tokei,"D:/dev/tools/counters-benchmark/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Python,Perl,Rust,Shell""",0.653941,0.021077,0.648886,0.628134,0.688131,6.110417,2.994792,15,63811,36021160,55083164,13.92,3956105
t1-rev,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.794487,0.019199,0.796661,0.771704,0.829953,6.096875,2.603125,15,63753,36012072,45327431,10.95,4139319
t1-rev,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region",0.347681,0.018684,0.340899,0.327215,0.37997,2.288542,2.252083,15,63893,36035852,103646332,13.06,7936320
t2-fwd,mezura,D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux,0.375532,0.021703,0.369356,0.353714,0.415233,2.679167,2.288542,15,66565,35815627,95373107,13.23,7209688
t2-fwd,scc,D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux,1.005674,0.020289,1.014606,0.969505,1.022514,10.311458,2.935417,15,83832,39992940,39767288,13.17,3019047
t2-fwd,tokei,D:/dev/tools/counters-benchmark/tokei.exe D:/dev/bench-corpora/linux,0.750449,0.024399,0.751878,0.711934,0.782091,6.853125,3.555208,15,83891,39991863,53290559,13.87,3842293
t2-rev,tokei,D:/dev/tools/counters-benchmark/tokei.exe D:/dev/bench-corpora/linux,0.764114,0.04246,0.765189,0.718491,0.877738,6.792708,3.605208,15,83891,39991863,52337554,13.61,3846142
t2-rev,scc,D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux,1.008862,0.022364,1.016749,0.968926,1.038906,10.497917,2.925,15,83832,39992940,39641638,13.31,2979452
t2-rev,mezura,D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux,0.379366,0.02401,0.373583,0.350586,0.426239,2.646875,2.340625,15,66565,35815627,94409270,13.15,7181078
