set,tool,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux,0.380828,0.020105,0.374189,0.360723,0.424168,2.675,2.291667,15,,,,13.04,
control-start,mezura,D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux,0.376022,0.016808,0.369668,0.35699,0.407828,2.692708,2.25,15,,,,13.14,
control-start,mezura,D:/dev/tools/counters-benchmark/control/mezura.exe D:/dev/bench-corpora/linux,0.379266,0.025864,0.367798,0.350795,0.434888,2.627083,2.310417,15,,,,13.02,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region",0.347169,0.024588,0.339181,0.320672,0.394696,2.296875,2.220833,15,,,,13.01,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 4 64",0.349176,0.020796,0.342715,0.328141,0.398745,2.215625,2.295833,15,,,,12.92,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 16 64",0.349096,0.023988,0.33858,0.32801,0.400784,2.415625,2.152083,15,,,,13.08,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 8 32",0.347166,0.026339,0.335476,0.32086,0.402914,2.486458,2.03125,15,,,,13.01,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 8 128",0.352747,0.020247,0.343007,0.331467,0.38821,2.330208,2.290625,15,,,,13.1,
sweep-mezura,mezura,"D:/dev/tools/counters-benchmark/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --threads 16 128",0.3482,0.023517,0.340781,0.32658,0.393806,2.298958,2.339583,15,,,,13.32,
sweep-scc,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config",0.800032,0.019026,0.802736,0.771727,0.833437,6.0375,2.6125,15,,,,10.81,
sweep-scc,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 32",0.808399,0.021861,0.806193,0.779504,0.864539,6.178125,2.741667,15,,,,11.03,
sweep-scc,scc,"D:/dev/tools/counters-benchmark/scc.exe D:/dev/bench-corpora/linux -i c,h,s,py,pl,rs,sh -c --no-cocomo --no-config --file-process-job-workers 64",0.793726,0.01312,0.798472,0.774025,0.808531,6.25,2.636458,15,,,,11.2,
