set,tool,model,files,lines,code,comments,third,value
t1,mezura,region,63893,36035852,27107162,4449425,blanks,4479265
t1,scc,region,63753,36012072,27138584,4407140,blanks,4466348
t1,tokei,region,63811,36021160,27136673,4410262,blanks,4474225
t2,mezura,content,66565,35815627,24179449,3289388,extra,8346790
t2,scc,region,83832,39992940,30443607,4533128,blanks,5016205
t2,tokei,region,83891,39991863,30331248,4645750,blanks,5014865
